"Event variant/page","Source","Scene evidence","Role","Character","Lines (zero based)","Classification","Priority","Previous art","Resolved art","Action"
"story-interlude-stormveil-village-92/page:3/The Web From Above","src/data/story-interludes.ts:418","The cliff overlook, the district and its anchor web small and whole below","actor","Mira Volt","0,1,2,3","REMAP","1","/portraits/cinematic/storywide/mira-volt.webp?v=891202c8e","/portraits/cinematic/storywide/mira-volt-neutral.webp?v=891202c8e","Resolve this exact current story beat to retained, reviewed artwork."
"story-interlude-stormveil-village-92/page:4/The Bookmaker's Books","src/data/story-interludes.ts:426","The last switchback, Vanta waiting with a strongbox of ledgers on a cart","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/stormveil-blackout.webp","/scenes/story/story-interlude-stormveil-village-92.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-interlude-stormveil-village-92/page:4/The Bookmaker's Books","src/data/story-interludes.ts:426","The last switchback, Vanta waiting with a strongbox of ledgers on a cart","actor","Elder Vanta","0,1,2,3","KEEP","5","/portraits/cinematic/storywide/elder-vanta.webp?v=891202c8e","/portraits/cinematic/storywide/elder-vanta.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-stormveil-village-92/page:5/The Storm Log","src/data/story-interludes.ts:436","The switchback, the log open across the strongbox","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/stormveil-blackout.webp","/scenes/story/story-interlude-stormveil-village-92.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-interlude-stormveil-village-92/page:5/The Storm Log","src/data/story-interludes.ts:436","The switchback, the log open across the strongbox","actor","Elder Vanta","0,1,2,3","KEEP","5","/portraits/cinematic/storywide/elder-vanta.webp?v=891202c8e","/portraits/cinematic/storywide/elder-vanta.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-stormveil-village-92/page:6/The Name on the Mast","src/data/story-interludes.ts:444","The switchback, the spyglass passed hand to hand","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/stormveil-civic.webp","/scenes/story/story-interlude-stormveil-village-92.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-interlude-stormveil-village-92/page:6/The Name on the Mast","src/data/story-interludes.ts:444","The switchback, the spyglass passed hand to hand","actor","Elder Vanta","0,1,2,3","KEEP","5","/portraits/cinematic/storywide/elder-vanta.webp?v=891202c8e","/portraits/cinematic/storywide/elder-vanta.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-stormveil-village-92/page:7/The Fourth Figure","src/data/story-interludes.ts:452","The tower gate's shadow, an odds-runner waiting alone, chalk behind her ear, no slate","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/stormveil-civic.webp","/scenes/story/story-interlude-stormveil-village-92.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-interlude-stormveil-village-92/page:8/The Village on the Hill","src/data/story-interludes.ts:460","The tower gate, the crowd on every switchback below, wind steady","background","","0,1,2,3","KEEP","5","/scenes/story/story-interlude-stormveil-village-92.webp","/scenes/story/story-interlude-stormveil-village-92.webp","Retain reviewed accurate artwork."
"story-interlude-stormveil-village-92/page:8/The Village on the Hill","src/data/story-interludes.ts:460","The tower gate, the crowd on every switchback below, wind steady","actor","Mira Volt","0,1,2,3","KEEP","5","/portraits/cinematic/storywide/mira-volt-neutral.webp?v=891202c8e","/portraits/cinematic/storywide/mira-volt-neutral.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-20/page:0/The Appraiser","src/data/story-interludes.ts:473","The register annex, a stranger at the wall","background","","0,1,2,3","KEEP","5","/scenes/story/cinematic/ashen-register-annex.webp","/scenes/story/cinematic/ashen-register-annex.webp","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-20/page:0/The Appraiser","src/data/story-interludes.ts:473","The register annex, a stranger at the wall","actor","Toma Reed","0,1,2,3","KEEP","5","/portraits/cinematic/toma-reed.webp?v=891202c8e","/portraits/cinematic/toma-reed.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-20/page:1/Kite Harrow","src/data/story-interludes.ts:77","The annex wall, charts spread","background","","0,1,2","KEEP","5","/scenes/story/cinematic/ashen-register-annex.webp","/scenes/story/cinematic/ashen-register-annex.webp","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-20/page:1/Kite Harrow","src/data/story-interludes.ts:77","The annex wall, charts spread","actor","Kite Harrow","0,1,2,3,4","KEEP","5","/portraits/cinematic/kite-harrow.webp?v=891202c8e","/portraits/cinematic/kite-harrow.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-20/page:1/Kite Harrow","src/data/story-interludes.ts:77","The annex wall, charts spread","background","","3,4","KEEP","5","/scenes/story/cinematic/ashen-annex-charts.webp","/scenes/story/cinematic/ashen-annex-charts.webp","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-20/page:2/The Refund","src/data/story-interludes.ts:489","The annex steps","background","","0,1,2,3","KEEP","5","/scenes/story/cinematic/ashen-annex-steps.webp","/scenes/story/cinematic/ashen-annex-steps.webp","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-20/page:2/The Refund","src/data/story-interludes.ts:489","The annex steps","actor","Kite Harrow","0,1,2,3","KEEP","5","/portraits/cinematic/kite-harrow.webp?v=891202c8e","/portraits/cinematic/kite-harrow.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-30/page:0/The Joiner's Bench","src/data/story-interludes.ts:500","Toma's family workshop, sawdust in the lamplight","background","","0,1,2,3,4","REMAP","3","/scenes/story/story-interlude-ashen-leaf-village-30.webp","/scenes/story/cinematic/storywide/ashen-intimate.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-interlude-ashen-leaf-village-30/page:0/The Joiner's Bench","src/data/story-interludes.ts:500","Toma's family workshop, sawdust in the lamplight","actor","Toma Reed","0,1,2,3,4","KEEP","5","/portraits/cinematic/toma-reed.webp?v=891202c8e","/portraits/cinematic/toma-reed.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-30/page:1/The Letter","src/data/story-interludes.ts:506","A floor board up, oilcloth unwrapped","background","","0,1,2,3","KEEP","5","/scenes/story/cinematic/storywide/ashen-intimate.webp","/scenes/story/cinematic/storywide/ashen-intimate.webp","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-30/page:1/The Letter","src/data/story-interludes.ts:506","A floor board up, oilcloth unwrapped","actor","Toma Reed","0,1,2,3","KEEP","5","/portraits/cinematic/toma-reed.webp?v=891202c8e","/portraits/cinematic/toma-reed.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-30/page:2/What He Was Becoming","src/data/story-interludes.ts:511","The bench, the letter between you","background","","0,1,2,3","REMAP","3","/scenes/story/story-interlude-ashen-leaf-village-30.webp","/scenes/story/cinematic/storywide/ashen-intimate.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-interlude-ashen-leaf-village-30/page:2/What He Was Becoming","src/data/story-interludes.ts:511","The bench, the letter between you","actor","Toma Reed","0,1,2,3","KEEP","5","/portraits/cinematic/toma-reed.webp?v=891202c8e","/portraits/cinematic/toma-reed.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-42/page:0/Tea at the Reeds'","src/data/story-interludes.ts:522","Ash-house row, Toma's family door","background","","0,1,2,3","KEEP","5","/scenes/story/story-interlude-ashen-leaf-village-42.webp","/scenes/story/story-interlude-ashen-leaf-village-42.webp","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-42/page:0/Tea at the Reeds'","src/data/story-interludes.ts:522","Ash-house row, Toma's family door","actor","Toma Reed","0,1,2,3","KEEP","5","/portraits/cinematic/toma-reed.webp?v=891202c8e","/portraits/cinematic/toma-reed.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-42/page:1/Sera Reed","src/data/story-interludes.ts:530","The Reed kitchen, tea and a proud wall","background","","0,1,2,3","REPLACE","3","/scenes/story/cinematic/storywide/ashen-intimate.webp","/scenes/story/cinematic/storywide/ashen-reed-kitchen-v1.webp","Integrated reviewed replacement: reedKitchen. See production.json for reference lock and production brief."
"story-interlude-ashen-leaf-village-42/page:1/Sera Reed","src/data/story-interludes.ts:530","The Reed kitchen, tea and a proud wall","actor","Sera Reed","0,1,2,3","KEEP","5","/portraits/cinematic/storywide/sera-reed.webp?v=891202c8e","/portraits/cinematic/storywide/sera-reed.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-42/page:2/The Painted Wall","src/data/story-interludes.ts:535","The workshop, ghost outlines behind the bench","background","","0,1,2,3","REPLACE","3","/scenes/story/cinematic/storywide/ashen-intimate.webp","/scenes/story/cinematic/storywide/ashen-painted-tool-wall-v1.webp","Integrated reviewed replacement: reedWall. See production.json for reference lock and production brief."
"story-interlude-ashen-leaf-village-42/page:3/The Edit Holds","src/data/story-interludes.ts:544","The kitchen, album open","background","","0,1,2,3","REPLACE","3","/scenes/story/cinematic/storywide/ashen-intimate.webp","/scenes/story/cinematic/storywide/ashen-reed-kitchen-v1.webp","Integrated reviewed replacement: reedKitchen. See production.json for reference lock and production brief."
"story-interlude-ashen-leaf-village-42/page:3/The Edit Holds","src/data/story-interludes.ts:544","The kitchen, album open","actor","Sera Reed","0,1,2,3","KEEP","5","/portraits/cinematic/storywide/sera-reed.webp?v=891202c8e","/portraits/cinematic/storywide/sera-reed.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-42/page:4/The Dish Towel","src/data/story-interludes.ts:552","The Reed kitchen after tea, cups waiting by the basin","background","","0,1,2,3","REPLACE","3","/scenes/story/cinematic/storywide/ashen-intimate.webp","/scenes/story/cinematic/storywide/ashen-reed-kitchen-v1.webp","Integrated reviewed replacement: reedKitchen. See production.json for reference lock and production brief."
"story-interlude-ashen-leaf-village-42/page:4/The Dish Towel","src/data/story-interludes.ts:552","The Reed kitchen after tea, cups waiting by the basin","actor","Toma Reed","0,1,2,3","KEEP","5","/portraits/cinematic/toma-reed.webp?v=891202c8e","/portraits/cinematic/toma-reed.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-42/page:5/Leaving Warm","src/data/story-interludes.ts:557","The row at dusk, Toma silent beside you","background","","0,1,2,3","KEEP","5","/scenes/story/story-interlude-ashen-leaf-village-42.webp","/scenes/story/story-interlude-ashen-leaf-village-42.webp","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-42/page:5/Leaving Warm","src/data/story-interludes.ts:557","The row at dusk, Toma silent beside you","actor","Toma Reed","0,1,2,3","KEEP","5","/portraits/cinematic/toma-reed.webp?v=891202c8e","/portraits/cinematic/toma-reed.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-58/page:0/The Bloom Charts","src/data/story-interludes.ts:568","Mori's study, forty years of charts","background","","0,1,2,3","REMAP","3","/scenes/story/story-interlude-ashen-leaf-village-58.webp","/scenes/story/cinematic/ashen-annex-charts.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-interlude-ashen-leaf-village-58/page:0/The Bloom Charts","src/data/story-interludes.ts:568","Mori's study, forty years of charts","actor","Elder Mori","0,1,2,3","KEEP","5","/portraits/cinematic/elder-mori.webp?v=891202c8e","/portraits/cinematic/elder-mori.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-58/page:1/The Pattern","src/data/story-interludes.ts:577","The study, charts under lamplight","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/ashen-ashfall.webp","/scenes/story/cinematic/ashen-annex-charts.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-interlude-ashen-leaf-village-58/page:2/Plainly, Then","src/data/story-interludes.ts:166","The study","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/ashen-intimate.webp","/scenes/story/cinematic/ashen-annex-charts.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-interlude-ashen-leaf-village-58/page:2/Plainly, Then","src/data/story-interludes.ts:166","The study","actor","Elder Mori","0,1,2,3","KEEP","5","/portraits/cinematic/elder-mori.webp?v=891202c8e","/portraits/cinematic/elder-mori.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-58/page:3/The Heaviest Thing He Owns","src/data/story-interludes.ts:593","The study, tea going cold","background","","0,1,2,3","REMAP","3","/scenes/story/story-interlude-ashen-leaf-village-58.webp","/scenes/story/cinematic/ashen-annex-charts.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-interlude-ashen-leaf-village-58/page:3/The Heaviest Thing He Owns","src/data/story-interludes.ts:593","The study, tea going cold","actor","Elder Mori","0,1,2,3","KEEP","5","/portraits/cinematic/elder-mori.webp?v=891202c8e","/portraits/cinematic/elder-mori.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-70/page:0/Your Survey","src/data/story-interludes.ts:604","The register annex, your name on the day's list","background","","0,1,2,3","REMAP","3","/scenes/story/story-interlude-ashen-leaf-village-70.webp","/scenes/story/cinematic/ashen-register-wall.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-interlude-ashen-leaf-village-70/page:0/Your Survey","src/data/story-interludes.ts:604","The register annex, your name on the day's list","actor","Registry Duty Clerk","0,1,2,3","KEEP","5","/portraits/cinematic/registry-duty-clerk.webp?v=891202c8e","/portraits/cinematic/registry-duty-clerk.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-70/page:1/The Old Scar","src/data/story-interludes.ts:609","Your slat, under the good lamp","background","","0,1,2,3,4","REMAP","3","/scenes/story/cinematic/storywide/ashen-sanctum.webp","/scenes/story/cinematic/ashen-register-wall.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-interlude-ashen-leaf-village-70/page:2/The Wounded Answer","src/data/story-interludes.ts:623","Your line, under the lamp","background","","0,1,2","REMAP","3","/scenes/story/cinematic/storywide/ashen-sanctum.webp","/scenes/story/cinematic/ashen-register-wall.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-interlude-ashen-leaf-village-70/page:3/The Wounded Answer","src/data/story-interludes.ts:623","Your line, under the lamp","background","","0,1,2","REMAP","3","/scenes/story/cinematic/storywide/ashen-sanctum.webp","/scenes/story/cinematic/ashen-register-wall.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-interlude-ashen-leaf-village-70/page:4/The Wounded Answer","src/data/story-interludes.ts:623","Your line, under the lamp","background","","0,1,2","REMAP","3","/scenes/story/cinematic/storywide/ashen-sanctum.webp","/scenes/story/cinematic/ashen-register-wall.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-interlude-ashen-leaf-village-70/page:5/The Wounded Answer","src/data/story-interludes.ts:623","Your line, under the lamp","background","","0,1,2","REMAP","3","/scenes/story/cinematic/storywide/ashen-sanctum.webp","/scenes/story/cinematic/ashen-register-wall.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-interlude-ashen-leaf-village-70/page:6/The Wounded Answer","src/data/story-interludes.ts:623","Your line, under the lamp","background","","0,1,2","REMAP","3","/scenes/story/cinematic/storywide/ashen-civic.webp","/scenes/story/cinematic/ashen-register-wall.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-interlude-ashen-leaf-village-70/page:7/What Mori Sees","src/data/story-interludes.ts:658","The annex, Mori summoned, door barred","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/ashen-civic.webp","/scenes/story/cinematic/ashen-register-wall.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-interlude-ashen-leaf-village-70/page:7/What Mori Sees","src/data/story-interludes.ts:658","The annex, Mori summoned, door barred","actor","Elder Mori","0,1,2,3","KEEP","5","/portraits/cinematic/elder-mori.webp?v=891202c8e","/portraits/cinematic/elder-mori.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-70/page:8/Pending","src/data/story-interludes.ts:666","The annex, your slat on the table between three people","background","","0,1,2,3","REMAP","3","/scenes/story/story-interlude-ashen-leaf-village-70.webp","/scenes/story/cinematic/ashen-register-wall.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-interlude-ashen-leaf-village-70/page:8/Pending","src/data/story-interludes.ts:666","The annex, your slat on the table between three people","actor","Registry Duty Clerk","0,1,2,3","KEEP","5","/portraits/cinematic/registry-duty-clerk.webp?v=891202c8e","/portraits/cinematic/registry-duty-clerk.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-80/page:0/The Buyer's Terms","src/data/story-interludes.ts:677","The orchard gate at dusk, Harrow waiting","background","","0,1,2,3","KEEP","5","/scenes/story/story-interlude-ashen-leaf-village-80.webp","/scenes/story/story-interlude-ashen-leaf-village-80.webp","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-80/page:0/The Buyer's Terms","src/data/story-interludes.ts:677","The orchard gate at dusk, Harrow waiting","actor","Kite Harrow","0,1,2,3","KEEP","5","/portraits/cinematic/kite-harrow.webp?v=891202c8e","/portraits/cinematic/kite-harrow.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-80/page:1/The Bud","src/data/story-interludes.ts:682","The orchard wall, her charts under her arm","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/ashen-threshold.webp","/scenes/story/story-interlude-ashen-leaf-village-80.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-interlude-ashen-leaf-village-80/page:1/The Bud","src/data/story-interludes.ts:682","The orchard wall, her charts under her arm","actor","Kite Harrow","0,1,2,3","KEEP","5","/portraits/cinematic/kite-harrow.webp?v=891202c8e","/portraits/cinematic/kite-harrow.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-80/page:2/The Pipe Under the Hearth","src/data/story-interludes.ts:691","The orchard wall, a copied schematic held up against the dusk","background","","0,1,2","REMAP","3","/scenes/story/cinematic/storywide/ashen-sanctum.webp","/scenes/story/story-interlude-ashen-leaf-village-80.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-interlude-ashen-leaf-village-80/page:2/The Pipe Under the Hearth","src/data/story-interludes.ts:691","The orchard wall, a copied schematic held up against the dusk","actor","Kite Harrow","0,1,2","KEEP","5","/portraits/cinematic/kite-harrow.webp?v=891202c8e","/portraits/cinematic/kite-harrow.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-80/page:3/Four Lines, One Drain","src/data/story-interludes.ts:698","The orchard gate, lanterns coming on, the schematic folded away","background","","0,1,2,3,4","REMAP","3","/scenes/story/cinematic/storywide/ashen-sanctum.webp","/scenes/story/story-interlude-ashen-leaf-village-80.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-interlude-ashen-leaf-village-80/page:3/Four Lines, One Drain","src/data/story-interludes.ts:698","The orchard gate, lanterns coming on, the schematic folded away","actor","Kite Harrow","0,1,2,3,4","KEEP","5","/portraits/cinematic/kite-harrow.webp?v=891202c8e","/portraits/cinematic/kite-harrow.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-80/page:4/What Harrow Holds","src/data/story-interludes.ts:707","The orchard gate, lanterns coming on","background","","0,1,2,3","KEEP","5","/scenes/story/story-interlude-ashen-leaf-village-80.webp","/scenes/story/story-interlude-ashen-leaf-village-80.webp","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-80/page:4/What Harrow Holds","src/data/story-interludes.ts:707","The orchard gate, lanterns coming on","actor","Kite Harrow","0,1,2,3","KEEP","5","/portraits/cinematic/kite-harrow.webp?v=891202c8e","/portraits/cinematic/kite-harrow.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-88/page:0/The East Channel","src/data/story-interludes.ts:718","The east terrace channel at night, lamplight on low water","background","","0,1,2,3,4","VARIANT","3","/scenes/story/story-interlude-ashen-leaf-village-88.webp","/scenes/story/cinematic/storywide/ashen-east-channel-night-v1.webp","Integrated supported story-state variant: ashenChannelNight. See production.json for reference lock and production brief."
"story-interlude-ashen-leaf-village-88/page:0/The East Channel","src/data/story-interludes.ts:718","The east terrace channel at night, lamplight on low water","actor","Toma Reed","0,1,2,3,4","KEEP","5","/portraits/cinematic/toma-reed.webp?v=891202c8e","/portraits/cinematic/toma-reed.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-88/page:1/Hands Remember","src/data/story-interludes.ts:729","Jorun planing a housing board by lamplight","background","","0,1,2,3","VARIANT","3","/scenes/story/cinematic/storywide/ashen-threshold.webp","/scenes/story/cinematic/storywide/ashen-east-channel-night-v1.webp","Integrated supported story-state variant: ashenChannelNight. See production.json for reference lock and production brief."
"story-interlude-ashen-leaf-village-88/page:2/The First Turn","src/data/story-interludes.ts:734","The screw lowered into the channel, rope taut","background","","0","VARIANT","3","/scenes/story/cinematic/storywide/ashen-intimate.webp","/scenes/story/cinematic/storywide/ashen-east-channel-night-v1.webp","Integrated supported story-state variant: ashenChannelNight. See production.json for reference lock and production brief."
"story-interlude-ashen-leaf-village-88/page:2/The First Turn","src/data/story-interludes.ts:734","The screw lowered into the channel, rope taut","background","","1,2,3","VARIANT","3","/scenes/story/cinematic/storywide/ashen-intimate.webp","/scenes/story/cinematic/storywide/ashen-split-vane-v1.webp","Integrated supported story-state variant: ashenVaneBroken. See production.json for reference lock and production brief."
"story-interlude-ashen-leaf-village-88/page:3/Trust Catches Up","src/data/story-interludes.ts:744","The channel bank, the lamp between you","background","","0,1,2,3","VARIANT","3","/scenes/story/cinematic/storywide/ashen-threshold.webp","/scenes/story/cinematic/storywide/ashen-split-vane-v1.webp","Integrated supported story-state variant: ashenVaneBroken. See production.json for reference lock and production brief."
"story-interlude-ashen-leaf-village-88/page:3/Trust Catches Up","src/data/story-interludes.ts:744","The channel bank, the lamp between you","actor","Toma Reed","0,1,2,3","KEEP","5","/portraits/cinematic/toma-reed.webp?v=891202c8e","/portraits/cinematic/toma-reed.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-88/page:4/The Water Climbs","src/data/story-interludes.ts:752","The screw turning, water rising up the flights","background","","0,1,2,3","VARIANT","3","/scenes/story/cinematic/storywide/ashen-intimate.webp","/scenes/story/cinematic/storywide/ashen-east-channel-working-v1.webp","Integrated supported story-state variant: ashenChannelWorking. See production.json for reference lock and production brief."
"story-interlude-ashen-leaf-village-88/page:5/The Number","src/data/story-interludes.ts:760","Wet chalk figures on a channel stone","background","","0,1,2,3","VARIANT","3","/scenes/story/cinematic/storywide/ashen-ashfall.webp","/scenes/story/cinematic/storywide/ashen-east-channel-working-v1.webp","Integrated supported story-state variant: ashenChannelWorking. See production.json for reference lock and production brief."
"story-interlude-ashen-leaf-village-88/page:5/The Number","src/data/story-interludes.ts:760","Wet chalk figures on a channel stone","actor","Toma Reed","0,1,2,3","KEEP","5","/portraits/cinematic/toma-reed.webp?v=891202c8e","/portraits/cinematic/toma-reed.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-88/page:6/The Model and the Machine","src/data/story-interludes.ts:769","The little model turning beside its full-grown self","background","","0,1,2,3","VARIANT","3","/scenes/story/cinematic/storywide/ashen-aftermath.webp","/scenes/story/cinematic/storywide/ashen-east-channel-working-v1.webp","Integrated supported story-state variant: ashenChannelWorking. See production.json for reference lock and production brief."
"story-interlude-ashen-leaf-village-88/page:6/The Model and the Machine","src/data/story-interludes.ts:769","The little model turning beside its full-grown self","actor","Toma Reed","0,1,2,3","KEEP","5","/portraits/cinematic/toma-reed.webp?v=891202c8e","/portraits/cinematic/toma-reed.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-88/page:7/You Carry the Door","src/data/story-interludes.ts:783","The channel bank, Toma holding the model","background","","0,1,2,3","VARIANT","3","/scenes/story/cinematic/storywide/ashen-civic.webp","/scenes/story/cinematic/storywide/ashen-east-channel-working-v1.webp","Integrated supported story-state variant: ashenChannelWorking. See production.json for reference lock and production brief."
"story-interlude-ashen-leaf-village-88/page:7/You Carry the Door","src/data/story-interludes.ts:783","The channel bank, Toma holding the model","actor","Toma Reed","0,1,2,3","KEEP","5","/portraits/cinematic/toma-reed.webp?v=891202c8e","/portraits/cinematic/toma-reed.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-88/page:8/Grateful Is Not Ready","src/data/story-interludes.ts:791","The channel bank, the model still in your own hands","background","","0,1,2","VARIANT","3","/scenes/story/cinematic/storywide/ashen-civic.webp","/scenes/story/cinematic/storywide/ashen-east-channel-working-v1.webp","Integrated supported story-state variant: ashenChannelWorking. See production.json for reference lock and production brief."
"story-interlude-ashen-leaf-village-88/page:8/Grateful Is Not Ready","src/data/story-interludes.ts:791","The channel bank, the model still in your own hands","actor","Toma Reed","0,1,2","KEEP","5","/portraits/cinematic/toma-reed.webp?v=891202c8e","/portraits/cinematic/toma-reed.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-88/page:9/The Wider Wedge","src/data/story-interludes.ts:798","The channel bank, Toma sorting wet wedges beside the frame","background","","0,1,2","VARIANT","3","/scenes/story/cinematic/storywide/ashen-aftermath.webp","/scenes/story/cinematic/storywide/ashen-east-channel-working-v1.webp","Integrated supported story-state variant: ashenChannelWorking. See production.json for reference lock and production brief."
"story-interlude-ashen-leaf-village-88/page:9/The Wider Wedge","src/data/story-interludes.ts:798","The channel bank, Toma sorting wet wedges beside the frame","actor","Toma Reed","0,1,2","KEEP","5","/portraits/cinematic/toma-reed.webp?v=891202c8e","/portraits/cinematic/toma-reed.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-88/page:10/The Extra Lamp","src/data/story-interludes.ts:805","The channel bank, two lamps beside Toma's clamp bag","background","","0,1,2","VARIANT","3","/scenes/story/cinematic/storywide/ashen-intimate.webp","/scenes/story/cinematic/storywide/ashen-east-channel-working-v1.webp","Integrated supported story-state variant: ashenChannelWorking. See production.json for reference lock and production brief."
"story-interlude-ashen-leaf-village-88/page:10/The Extra Lamp","src/data/story-interludes.ts:805","The channel bank, two lamps beside Toma's clamp bag","actor","Toma Reed","0,1,2","KEEP","5","/portraits/cinematic/toma-reed.webp?v=891202c8e","/portraits/cinematic/toma-reed.webp?v=891202c8e","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-88/page:11/The Water Keeps Climbing","src/data/story-interludes.ts:812","First gray light, the water still climbing","background","","0,1,2,3","VARIANT","3","/scenes/story/story-interlude-ashen-leaf-village-88.webp","/scenes/story/cinematic/storywide/ashen-east-channel-dawn-v1.webp","Integrated supported story-state variant: ashenChannelDawn. See production.json for reference lock and production brief."
"story-interlude-ashen-leaf-village-92/page:0/The Last Road","src/data/story-interludes.ts:823","The kiln road at dawn, three figures waiting","background","","0,1,2","KEEP","5","/scenes/story/story-interlude-ashen-leaf-village-92.webp","/scenes/story/story-interlude-ashen-leaf-village-92.webp","Retain reviewed accurate artwork."
"story-interlude-ashen-leaf-village-92/page:1/The Mother","src/data/story-interludes.ts:827","The road, Sera Reed stepping forward","background","","0,1,2,3","REMAP","3","/scenes/story/cinematic/storywide/ashen-sanctum.webp","/scenes/story/story-interlude-ashen-leaf-village-92.webp","Resolve this exact current story beat to retained, reviewed artwork."
"story-interlude-ashen-leaf-village-92/page:1/The Mother","src/data/story-interludes.ts:827","The road, Sera Reed stepping forward","actor","Sera Reed","0,1,2,3","KEEP","5","/portraits/cinematic/storywide/sera-reed.webp?v=891202c8e","/portraits/cinematic/storywide/sera-reed.webp?v=891202c8e","Retain reviewed accurate artwork."
